,activityID,LocationID
0,0,0
1,4,0
2,3,0
3,9,0
4,18,0
5,15,0
6,7,0
7,16,0
8,8,0
9,19,0
10,17,0
11,1,0
12,0,1
13,2,1
14,4,1
15,3,1
16,5,1
17,9,1
18,10,1
19,11,1
20,14,1
21,18,1
22,15,1
23,7,1
24,16,1
25,8,1
26,19,1
27,17,1
28,1,1
29,0,3
30,2,3
31,4,3
32,3,3
33,5,3
34,9,3
35,18,3
36,15,3
37,6,3
38,7,3
39,16,3
40,8,3
41,13,3
42,19,3
43,17,3
44,0,4
45,4,4
46,18,4
47,15,4
48,7,4
49,16,4
50,8,4
51,19,4
52,1,4
53,0,5
54,4,5
55,3,5
56,5,5
57,18,5
58,15,5
59,7,5
60,16,5
61,8,5
62,19,5
63,17,5
64,1,5
65,0,6
66,3,6
67,18,6
68,7,6
69,16,6
70,8,6
71,17,6
72,0,7
73,2,7
74,4,7
75,3,7
76,5,7
77,9,7
78,11,7
79,18,7
80,15,7
81,6,7
82,7,7
83,16,7
84,8,7
85,19,7
86,17,7
87,1,7
88,18,8
89,16,8
90,8,8
91,18,9
92,15,9
93,7,9
94,16,9
95,8,9
96,4,11
97,3,11
98,9,11
99,18,11
100,15,11
101,7,11
102,16,11
103,8,11
104,17,11
105,1,11
106,0,12
107,18,12
108,15,12
109,7,12
110,16,12
111,8,12
112,19,12
113,0,13
114,18,13
115,8,13
116,0,15
117,4,15
118,11,15
119,18,15
120,15,15
121,7,15
122,16,15
123,8,15
124,19,15
125,17,15
126,1,15
127,0,17
128,4,17
129,3,17
130,18,17
131,15,17
132,7,17
133,16,17
134,8,17
135,19,17
136,17,17
137,0,18
138,2,18
139,4,18
140,3,18
141,9,18
142,10,18
143,11,18
144,18,18
145,15,18
146,7,18
147,16,18
148,8,18
149,19,18
150,17,18
151,0,19
152,4,19
153,3,19
154,14,19
155,18,19
156,15,19
157,7,19
158,16,19
159,8,19
160,19,19
161,17,19
162,14,21
163,18,21
164,7,21
165,16,21
166,8,21
167,19,21
168,1,21
169,18,22
170,0,23
171,3,23
172,18,23
173,15,23
174,7,23
175,16,23
176,8,23
177,2,24
178,4,24
179,3,24
180,18,24
181,15,24
182,6,24
183,7,24
184,16,24
185,12,24
186,8,24
187,17,24
188,4,25
189,3,25
190,5,25
191,9,25
192,18,25
193,15,25
194,6,25
195,7,25
196,16,25
197,8,25
198,19,25
199,17,25
200,1,25
201,0,28
202,18,28
203,15,28
204,7,28
205,16,28
206,8,28
207,19,28
208,17,28
209,1,28
210,0,31
211,3,31
212,5,31
213,18,31
214,15,31
215,7,31
216,16,31
217,8,31
218,19,31
219,17,31
220,1,31
221,0,32
222,4,32
223,3,32
224,5,32
225,9,32
226,18,32
227,15,32
228,7,32
229,16,32
230,8,32
231,13,32
232,17,32
233,1,32
234,4,34
235,3,34
236,9,34
237,18,34
238,15,34
239,6,34
240,7,34
241,16,34
242,8,34
243,17,34
244,0,35
245,4,35
246,9,35
247,11,35
248,18,35
249,15,35
250,7,35
251,16,35
252,8,35
253,19,35
254,17,35
255,1,35
256,0,36
257,4,36
258,3,36
259,9,36
260,18,36
261,15,36
262,7,36
263,16,36
264,8,36
265,19,36
266,17,36
267,1,36
268,0,37
269,2,37
270,4,37
271,3,37
272,9,37
273,10,37
274,11,37
275,14,37
276,18,37
277,15,37
278,7,37
279,16,37
280,8,37
281,19,37
282,17,37
283,1,37
284,0,38
285,18,38
286,15,38
287,7,38
288,16,38
289,8,38
290,1,38
291,0,39
292,4,39
293,3,39
294,9,39
295,18,39
296,15,39
297,7,39
298,16,39
299,8,39
300,19,39
301,17,39
302,1,39
303,0,40
304,18,40
305,7,40
306,16,40
307,8,40
308,19,40
309,17,40
310,0,42
311,18,42
312,8,42
313,17,42
314,18,43
315,8,43
316,0,44
317,3,44
318,9,44
319,11,44
320,14,44
321,18,44
322,15,44
323,7,44
324,16,44
325,8,44
326,19,44
327,0,45
328,4,45
329,11,45
330,18,45
331,15,45
332,7,45
333,16,45
334,8,45
335,19,45
336,17,45
337,3,46
338,18,46
339,15,46
340,7,46
341,16,46
342,8,46
343,19,46
344,3,48
345,5,48
346,18,48
347,15,48
348,7,48
349,16,48
350,8,48
351,19,48
352,17,48
353,1,48
354,4,49
355,3,49
356,5,49
357,9,49
358,18,49
359,15,49
360,7,49
