latitude,longitude,act1,act2,act3,act4,act5
38.2971367,-122.2855293,hot_air_balloons,paddleboarding,hotsprings,hiking,beaches
38.70775070000001,-9.1365919,tours,ziplining,massage,beaches,hiking
38.89503679999999,-77.0365427,paddleboarding,hiking,horsebackriding,sailing,tours
38.9743901,1.4197463178515335,ziplining,sailing,hiking,beaches,massage
39.1911128,-106.8235606,hotsprings,horsebackriding,ziplining,tours,paddleboarding
39.4697065,-0.3763353,ziplining,beaches,tours,massage,horsebackriding
39.5695818,2.6500745,ziplining,hiking,beaches,paddleboarding,tours
40.4167047,-3.7035825,tours,ziplining,massage,hiking,beaches
40.6460921,-111.4979963,tours,massage,hiking,horsebackriding,paddleboarding
40.7127281,-74.0060152,snorkeling,sailing,beaches,hiking,paddleboarding
40.8358846,14.2487679,tours,ziplining,hiking,beaches,massage
41.0091982,28.9662187,hiking,ziplining,tours,beaches,hot_air_balloons
41.1494512,-8.6107884,ziplining,tours,massage,beaches,
41.3828939,2.1774322,snorkeling,tours,massage,sailing,beaches
41.87556160000001,-87.6244212,snorkeling,hiking,beaches,tours,paddleboarding
41.8933203,12.4829321,tours,ziplining,massage,beaches,hanggliding
42.3554334,-71.060511,snorkeling,beaches,tours,hiking,paddleboarding
43.10656029999999,-79.06390390000001,paddleboarding,hiking,massage,tours,beaches
43.17389195,16.556523494578517,beaches,ziplining,,,
43.2961743,5.3699525,beaches,ziplining,hiking,tours,sailing
43.4832523,-1.5592776000000002,ziplining,tours,beaches,massage,hiking
43.5116383,16.4399659,beaches,ziplining,,,
43.6534817,-79.38393470000003,beaches,tours,massage,paddleboarding,ziplining
43.7698712,11.2555757,tours,massage,ziplining,beaches,horsebackriding
44.279621,-73.979874,ziplining,tours,massage,paddleboarding,hiking
44.4643768,-72.6856197,tours,ziplining,massage,hot_air_balloons,paddleboarding
44.841225,-0.5800364,ziplining,massage,paddleboarding,tours,beaches
44.9584528,6.8786855,ziplining,tours,beaches,massage,hiking
45.4208777,-75.6901106,ziplining,tours,massage,beaches,hiking
45.4371908,12.3345898,ziplining,tours,beaches,massage,
45.4641943,9.1896346,ziplining,massage,horsebackriding,tours,
45.50318239999999,-73.5698065,tours,massage,ziplining,hiking,paddleboarding
45.5202471,-122.674194,hot_air_balloons,paddleboarding,hiking,snorkeling,sailing
45.75781370000001,4.8320114,ziplining,massage,tours,horsebackriding,hiking
46.2017559,6.1466014000000015,ziplining,tours,paddleboarding,beaches,massage
46.4978958,9.8392428,ziplining,massage,tours,hiking,
47.3744489,8.5410422,ziplining,hotsprings,hiking,tours,massage
47.7981346,13.0464806,tours,ziplining,hiking,beaches,hot_air_balloons
48.1371079,11.575382199999998,tours,ziplining,massage,beaches,hiking
48.2083537,16.372504199999998,ziplining,sailing,tours,horsebackriding,massage
48.7784485,9.1800132,ziplining,hiking,massage,tours,hotsprings
48.8534951,2.3483915,tours,beaches,ziplining,massage,hot_air_balloons
49.2608724,-123.113952,tours,hiking,beaches,paddleboarding,massage
49.5041747,-115.062867,ziplining,massage,tours,,
49.8879177,-119.495902,ziplining,tours,massage,beaches,horsebackriding
50.0619474,19.9368564,ziplining,beaches,hot_air_balloons,hiking,tours
50.0874654,14.4212535,tours,ziplining,massage,hiking,beaches
50.1106444,8.682091699999999,sailing,ziplining,massage,tours,beaches
50.67108245,-1.3328042802764226,ziplining,tours,beaches,sailing,massage
50.8465573,4.351697,ziplining,massage,tours,hiking,hanggliding
50.938361,6.959974000000001,tours,beaches,massage,ziplining,hiking
51.0460954,-114.065465,ziplining,massage,tours,hiking,beaches
51.0493286,13.7381437,ziplining,tours,massage,hiking,horsebackriding
51.08668970000001,-115.3481135,ziplining,hiking,tours,horsebackriding,massage
51.2254018,6.7763137,tours,beaches,massage,ziplining,hiking
51.45380220000001,-2.5972985,ziplining,tours,hiking,beaches,massage
51.5073359,-0.12765,tours,ziplining,massage,horsebackriding,beaches
51.53882410000001,0.7128137,beaches,ziplining,tours,massage,horsebackriding
51.6195955,-3.9459248,ziplining,beaches,tours,massage,horsebackriding
51.9244424,4.47775,ziplining,beaches,hiking,tours,horsebackriding
52.2319581,21.0067249,ziplining,horsebackriding,hiking,beaches,massage
52.3730796,4.892453400000001,tours,massage,ziplining,beaches,hiking
52.3744779,9.738553199999998,ziplining,tours,massage,horsebackriding,hot_air_balloons
52.5170365,13.388859900000002,tours,massage,beaches,ziplining,hot_air_balloons
53.3498006,-6.2602964000000005,tours,massage,ziplining,beaches,hiking
53.40719910000001,-2.99168,ziplining,tours,beaches,horsebackriding,hiking
53.4794892,-2.2451148,ziplining,hiking,tours,massage,horsebackriding
53.546205500000006,-113.491241,massage,ziplining,tours,beaches,paddleboarding
53.550341,10.000654,tours,beaches,massage,ziplining,hot_air_balloons
54.596391,-5.9301829,tours,ziplining,beaches,massage,hiking
54.97384739999999,-1.6131572,ziplining,tours,horsebackriding,beaches,massage
55.3997225,10.3852104,ziplining,,,,
55.6867243,12.5700724,tours,ziplining,beaches,hiking,massage
55.861155,-4.2501687000000015,ziplining,tours,massage,beaches,hiking
55.9533456,-3.1883749,hiking,tours,ziplining,massage,beaches
59.3251172,18.0710935,ziplining,tours,massage,beaches,hiking
59.9133301,10.7389701,ziplining,hiking,tours,beaches,massage
60.16748810000001,24.9427473,ziplining,beaches,tours,hiking,massage
60.39430550000001,5.3259192,tours,ziplining,hiking,massage,
