LocationID,April,May,June,July,August,September,October,November,December,January,February,March
121,11,13,13,13,13,9,7,6,4,4,6,8
122,11,14,16,15,14,10,8,7,4,5,7,9
123,9,13,15,13,11,10,9,5,7,7,9,7
124,11,14,14,14,10,9,10,6,5,7,10,10
125,11,13,11,9,7,7,7,8,9,11,11,11
126,8,14,16,16,13,8,8,6,4,3,7,7
127,9,11,13,9,9,10,10,9,9,8,9,10
128,10,13,12,13,10,10,11,8,6,9,9,9
129,10,15,16,15,16,8,7,4,3,2,6,8
130,10,14,16,15,13,8,8,6,5,3,7,7
131,11,14,14,14,11,10,11,6,5,7,10,10
132,7,10,13,15,12,10,11,8,6,2,6,8
133,11,14,16,16,10,10,11,6,6,7,10,10
134,7,11,13,15,11,10,11,7,6,4,7,8
135,11,14,14,14,13,10,10,6,5,6,10,10
136,10,11,9,10,9,8,8,9,9,8,9,10
137,10,15,16,16,13,8,8,8,5,5,8,8
138,8,14,15,15,11,9,9,6,4,4,7,8
139,10,14,16,14,10,10,10,8,4,4,10,10
140,11,11,14,14,11,10,10,9,7,7,11,11
141,8,6,5,5,6,8,10,10,10,10,9,9
142,9,12,16,16,13,9,9,6,5,4,8,7
143,13,15,16,16,14,7,6,6,2,2,6,7
144,12,11,11,10,10,9,9,10,6,6,9,11
145,10,13,16,16,11,8,9,7,5,4,9,9
146,11,14,13,14,12,10,9,7,6,5,9,8
147,9,15,14,16,13,10,10,7,4,4,8,8
148,11,11,16,14,10,11,11,9,7,7,11,11
149,11,15,16,15,11,8,7,8,5,3,7,8
150,11,15,16,15,11,8,7,8,5,3,7,8
151,11,15,16,15,11,8,7,8,5,3,7,8
152,11,15,16,15,11,8,7,8,5,3,7,8
153,10,15,16,16,13,8,8,6,5,3,7,7
154,11,13,14,14,12,10,10,7,4,6,10,10
155,12,13,14,13,13,12,9,9,9,8,12,11
156,10,15,16,15,15,8,7,4,3,2,6,8
157,10,15,16,15,11,8,8,7,4,3,8,9
158,12,11,11,9,10,10,8,9,8,8,11,12
159,11,14,16,16,11,8,8,6,4,3,9,8
160,10,15,16,15,12,9,8,7,5,3,8,7
161,10,15,15,16,14,9,9,6,4,2,8,7
162,9,14,16,15,14,8,8,7,3,3,8,9
163,11,16,17,16,13,8,7,6,4,4,8,7
164,11,10,11,10,12,9,9,13,10,9,7,8
165,8,13,12,13,12,9,8,5,6,6,7,6
166,8,14,14,15,12,10,8,5,4,3,7,7
167,12,16,17,16,15,9,7,3,3,3,7,8
168,8,13,14,15,13,10,8,5,4,3,7,7
169,8,14,15,15,12,9,8,5,4,3,6,7
170,9,13,15,15,12,8,8,6,5,5,10,9
171,11,13,16,16,11,9,10,6,3,3,10,9
172,10,13,16,16,11,9,10,8,3,4,10,10
173,10,14,14,14,11,11,10,7,7,9,10,12
