,LocationID,April,May,June,July,August,September,October,November,December,January,February,March
88,88,51.8,62.6,71.6,75.2,78.8,75.2,62.6,57.2,55.4,50.0,41.0,48.2
89,89,87.8,80.6,80.6,78.8,77.0,75.2,75.2,77.0,73.4,73.4,75.2,82.4
90,90,59.0,69.8,86.0,89.6,78.8,73.4,66.2,53.6,48.2,42.8,44.6,57.2
91,91,66.2,62.6,60.8,68.0,66.2,64.4,69.8,69.8,71.6,73.4,73.4,71.6
92,92,73.4,71.6,68.0,73.4,69.8,69.8,75.2,75.2,77.0,78.8,78.8,77.0
93,93,71.6,69.8,64.4,64.4,62.6,60.8,60.8,62.6,59.0,59.0,62.6,64.4
94,94,42.8,59.0,62.6,62.6,69.8,57.2,53.6,42.8,23.0,39.2,35.6,42.8
95,95,80.6,80.6,78.8,80.6,78.8,78.8,78.8,77.0,75.2,77.0,77.0,78.8
96,96,84.2,84.2,84.2,78.8,80.6,80.6,77.0,80.6,78.8,80.6,82.4,84.2
97,97,82.4,84.2,80.6,82.4,82.4,80.6,80.6,80.6,77.0,80.6,80.6,80.6
98,98,86.0,82.4,84.2,80.6,80.6,80.6,75.2,82.4,77.0,78.8,82.4,86.0
99,99,59.0,64.4,71.6,77.0,68.0,69.8,66.2,59.0,53.6,53.6,53.6,55.4
100,100,59.0,68.0,78.8,82.4,84.2,77.0,71.6,64.4,59.0,55.4,50.0,62.6
101,101,62.6,68.0,73.4,77.0,82.4,75.2,71.6,59.0,51.8,53.6,53.6,57.2
102,102,66.2,77.0,89.6,98.6,91.4,84.2,78.8,51.8,44.6,48.2,48.2,60.8
103,103,64.4,60.8,53.6,44.6,51.8,53.6,62.6,66.2,75.2,71.6,77.0,73.4
104,104,46.4,62.6,68.0,66.2,77.0,59.0,55.4,46.4,26.6,41.0,42.8,42.8
105,105,59.0,64.4,68.0,78.8,82.4,77.0,68.0,59.0,46.4,44.6,42.8,57.2
106,106,46.4,64.4,69.8,71.6,71.6,69.8,51.8,39.2,35.6,37.4,35.6,33.8
107,107,48.2,64.4,66.2,68.0,73.4,60.8,57.2,46.4,30.2,39.2,41.0,44.6
108,108,53.6,60.8,71.6,77.0,75.2,71.6,60.8,50.0,37.4,41.0,44.6,41.0
109,109,62.6,68.0,77.0,78.8,80.6,75.2,69.8,64.4,60.8,57.2,57.2,62.6
110,110,75.2,82.4,87.8,87.8,84.2,80.6,77.0,57.2,60.8,64.4,57.2,64.4
111,111,62.6,73.4,84.2,89.6,78.8,77.0,73.4,64.4,60.8,53.6,55.4,60.8
112,112,71.6,71.6,77.0,86.0,84.2,80.6,71.6,73.4,60.8,62.6,62.6,66.2
113,113,57.2,68.0,77.0,80.6,80.6,75.2,68.0,62.6,55.4,53.6,50.0,55.4
114,114,62.6,69.8,75.2,78.8,73.4,71.6,69.8,64.4,60.8,57.2,57.2,60.8
115,115,60.8,64.4,71.6,78.8,84.2,82.4,66.2,59.0,46.4,46.4,44.6,55.4
116,116,60.8,64.4,71.6,78.8,84.2,82.4,66.2,59.0,46.4,46.4,44.6,55.4
117,117,60.8,64.4,71.6,78.8,84.2,82.4,66.2,59.0,46.4,46.4,44.6,55.4
118,118,60.8,64.4,71.6,78.8,84.2,82.4,66.2,59.0,46.4,46.4,44.6,55.4
119,119,66.2,64.4,60.8,60.8,60.8,60.8,62.6,66.2,69.8,71.6,75.2,75.2
120,120,44.6,62.6,62.6,69.8,68.0,62.6,51.8,39.2,28.4,19.4,28.4,32.0
121,121,44.6,59.0,64.4,64.4,73.4,57.2,55.4,42.8,24.8,41.0,37.4,41.0
122,122,55.4,66.2,69.8,77.0,77.0,64.4,60.8,53.6,32.0,44.6,46.4,50.0
123,123,44.6,55.4,64.4,69.8,69.8,68.0,51.8,39.2,32.0,30.2,35.6,32.0
124,124,53.6,66.2,77.0,80.6,77.0,69.8,62.6,53.6,44.6,44.6,42.8,51.8
125,125,73.4,71.6,64.4,66.2,64.4,64.4,64.4,64.4,64.4,62.6,62.6,64.4
126,126,51.8,57.2,59.0,66.2,68.0,57.2,51.8,51.8,32.0,42.8,46.4,42.8
127,127,71.6,78.8,84.2,82.4,80.6,78.8,73.4,57.2,62.6,60.8,57.2,62.6
